"MOD_NAME","ITM_NAME","DSCR","MAPPING_NOTES","MAPPING_CODE","NEW_MOD_NAME","NEW_ITM_NAME"
"CORIELL","SMS_SUBJECT_ID","Coriell Subject ID","","Excluded","",""
"CORIELL","STATUS","Status","","Excluded","",""
"CORIELL","STUDYID","Study Name","","Excluded","",""
"CORIELL","TYPE","Type","","Excluded","",""
"CORIELL","VOLUME_RECEIVED","Volume Received","","Excluded","",""
"CORIELL","VOLUME_RECEIVED_UNITS","Volume Received Units","","Excluded","",""
"CORIELL_CATALOG","ALIAS_ID","Patient Number","","Excluded","",""
"CORIELL_CATALOG","CLINICAL_EVENT","Event Name","","Excluded","",""
"CORIELL_CATALOG","CONCENTRATION","Concentration","","Excluded","",""
"CORIELL_CATALOG","CUSTODIAL_DOMAIN","Custodial Domain","","Excluded","",""
"CORIELL_CATALOG","MASS_UG","Mass ug","","Excluded","",""
"CORIELL_CATALOG","NUM_AVAILABLE","Num Aliquots Available","","Excluded","",""
"CORIELL_CATALOG","QC","QC Status","","Excluded","",""
"CORIELL_CATALOG","QUANTITY","Quantity","","Excluded","",""
"CORIELL_CATALOG","QUANTITY_UNITS","Quantity Units","","Excluded","",""
"CORIELL_CATALOG","RATIO_260_280","Ratio 260 280","","Excluded","",""
"CORIELL_CATALOG","RIN","RIN","","Excluded","",""
"CORIELL_CATALOG","SMS_SUBJECT_ID","Coriell Subject ID","","Excluded","",""
"CORIELL_CATALOG","TYPE","Type","","Excluded","",""
"CORIELL_CATALOG","VOLUME_RECEIVED","Volume Received","","Excluded","",""
"CORIELL_CATALOG","VOLUME_RECEIVED_UNITS","Volume Received Units","","Excluded","",""
"CORIELL_SAMPLE_TEST","ALIAS_ID","Patient Number","","Excluded","",""
"CORIELL_SAMPLE_TEST","PARAMETERLIST","Parameter List","","Excluded","",""
"CORIELL_SAMPLE_TEST","PARAMID","Parameter ID","","Excluded","",""
"CORIELL_SAMPLE_TEST","SAMPLEID","Coriell Sample ID","","Excluded","",""
"CORIELL_SAMPLE_TEST","TESTDATE","Test Date","","Excluded","",""
"CORIELL_SAMPLE_TEST","TESTINSTANCE","Test Instance","","Excluded","",""
"CORIELL_SAMPLE_TEST","TESTNAME","Test Name","","Excluded","",""
"CORIELL_SAMPLE_TEST","VALUE","Value","","Excluded","",""
"DATSCAN","DATSCNDT","SPECT Scan date","Replaced by INFODT in DATSCAN","Replaced","DATSCAN","INFODT"
"DATSCAN","DATXFRYN","DAT imaging transferred","","Excluded","",""
"DATSCAN","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"DATSCAN","INFODT","Event Date","Exists in DATSCAN but for records collected in prior EDC, DATSCNDT is Mapped into it.","Excluded","",""
"DATSCAN","RSLTNGAE","AEs as a result of DAT scan","","Excluded","",""
"DATSCAN","SITE_APRV","Date site approved the data","","Excluded","",""
"DTRMFALL","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"DTRMFALL","SITE_APRV","Date site approved the data","","Excluded","",""
"EPWORTH","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"EPWORTH","SITE_APRV","Date site approved the data","","Excluded","",""
"FAMHXPD","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"FAMHXPD","SITE_APRV","Date site approved the data","","Excluded","",""
"FAMHXSUB","CNO","Center Number","","Excluded","",""
"FAMHXSUB","COMM","Comments","","Excluded","",""
"FAMHXSUB","EVENT_ID","Event Name","","Excluded","",""
"FAMHXSUB","FHXDISTR","Family History Packet distributed","","Excluded","",""
"FAMHXSUB","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"FAMHXSUB","INFODT","Event Date","","Excluded","",""
"FAMHXSUB","LAST_UPDATE","Date of most recent update to record","","Excluded","",""
"FAMHXSUB","ORIG_ENTRY","Date of original data entry","","Excluded","",""
"FAMHXSUB","PAG_NAME","Page Name","","Excluded","",""
"FAMHXSUB","PATNO","Patient Number","","Excluded","",""
"FAMHXSUB","QUERY","Any open/pending queries on this record","","Excluded","",""
"FAMHXSUB","REC_ID","Record ID","","Excluded","",""
"FAMHXSUB","SITE_APRV","Date site approved the data","","Excluded","",""
"GAITASMT","CNO","Center Number","","Excluded","",""
"GAITASMT","DUAL10TM","Time to walk 10 meters dual task (sec)","","Excluded","",""
"GAITASMT","DUALMSTK","Number of mistakes in Dual subtractions","","Excluded","",""
"GAITASMT","DUALSUBN","Number of subtractions in Dual task","","Excluded","",""
"GAITASMT","EVENT_ID","Event Name","","Excluded","",""
"GAITASMT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"GAITASMT","GAITCMPT","Was gait assessent completed","","Excluded","",""
"GAITASMT","GAITVS","What visit was gait assessment performed","","Excluded","",""
"GAITASMT","HXORTHO","History of orthopedic injury, surgery","","Excluded","",""
"GAITASMT","INFODT","Event Date","","Excluded","",""
"GAITASMT","LARMLCM","Left arm length in centimeters","","Excluded","",""
"GAITASMT","LAST_UPDATE","Date of most recent update to record","","Excluded","",""
"GAITASMT","LLEGLCM","Left leg length in centimeters","","Excluded","",""
"GAITASMT","ORIG_ENTRY","Date of original data entry","","Excluded","",""
"GAITASMT","PAG_NAME","Page Name","","Excluded","",""
"GAITASMT","PATNO","Patient Number","","Excluded","",""
"GAITASMT","QUERY","Any open/pending queries on this record","","Excluded","",""
"GAITASMT","RARMLCM","Right arm length in centimeters","","Excluded","",""
"GAITASMT","REC_ID","Record ID","","Excluded","",""
"GAITASMT","RLEGLCM","Right leg length in centimeters","","Excluded","",""
"GAITASMT","SITE_APRV","Date site approved the data","","Excluded","",""
"GAITASMT","WALK10TM","Time to walk 10 meters (seconds)","","Excluded","",""
"GDSSHORT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"GDSSHORT","SITE_APRV","Date site approved the data","","Excluded","",""
"GENPHYEX","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"GENPHYEX","SITE_APRV","Date site approved the data","","Excluded","",""
"HVLT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"HVLT","SITE_APRV","Date site approved the data","","Excluded","",""
"IMGUNSCH","CNO","Center Number","","Excluded","",""
"IMGUNSCH","EVENT_ID","Event Name","","Excluded","",""
"IMGUNSCH","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"IMGUNSCH","IMAGDT","Date Imaging Performed","","Excluded","",""
"IMGUNSCH","IMAGTYPB","Type of Imaging Performed","","Excluded","",""
"IMGUNSCH","IMAGVIS","Visit Imaging Performed","","Excluded","",""
"IMGUNSCH","INFODT","Event Date","","Excluded","",""
"IMGUNSCH","LAST_UPDATE","Date of most recent update to record","","Excluded","",""
"IMGUNSCH","ORIG_ENTRY","Date of original data entry","","Excluded","",""
"IMGUNSCH","PAG_NAME","Page Name","","Excluded","",""
"IMGUNSCH","PATNO","Patient Number","","Excluded","",""
"IMGUNSCH","QUERY","Any open/pending queries on this record","","Excluded","",""
"IMGUNSCH","REC_ID","Record ID","","Excluded","",""
"IMGUNSCH","SEQ_NO","Sequence Number","","Excluded","",""
"IMGUNSCH","SITE_APRV","Date site approved the data","","Excluded","",""
"INEX","ELIGIBIL","Is the Subject eligible for enrollment","","Excluded","",""
"INEX","INEX12","Inclusion question 12","","Excluded","",""
"INEX","INEX13","Inclusion question 13","","Excluded","",""
"INEX","INEX14","Inclusion question 14","","Excluded","",""
"INEX","INEX15","Inclusion question 15","","Excluded","",""
"INEX","INEX16","Inclusion question 16","","Excluded","",""
"INEX","INEX17","Inclusion question 17","","Excluded","",""
"INEX","INEX36","Exclusion question 16","","Excluded","",""
"INEX","INEX37","Exclusion question 17","","Excluded","",""
"INEX","INEX38","Exclusion question 18","","Excluded","",""
"INEX","INEX39","Exclusion question 19","","Excluded","",""
"INEX","INEX40","Exclusion question 20","","Excluded","",""
"LAB","BLDLAB","Blood for safety labs","Moved to CLINLAB","Replaced","CLINLAB","BLDLAB"
"LAB","BLDSHPDT","Date shipped to central lab","Excluded (Only present in the dictionary, it was never collected for the LAB dataset)","Excluded","",""
"LAB","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"LAB","SITE_APRV","Date site approved the data","","Excluded","",""
"LEXICAL","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"LEXICAL","SITE_APRV","Date site approved the data","","Excluded","",""
"LINEORNT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"LINEORNT","SITE_APRV","Date site approved the data","","Excluded","",""
"LNSPD","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"LNSPD","SITE_APRV","Date site approved the data","","Excluded","",""
"LUMBAR","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"LUMBAR","SITE_APRV","Date site approved the data","","Excluded","",""
"MHXGEN","VMEDDRA","MedDRA Version","","Excluded","",""
"MOCA","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"MOCA","SITE_APRV","Date site approved the data","","Excluded","",""
"MODBSTN","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"MODBSTN","SITE_APRV","Date site approved the data","","Excluded","",""
"MODSEADL","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"MODSEADL","SITE_APRV","Date site approved the data","","Excluded","",""
"MRI","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"MRI","INFODT","Event Date","Exists in MRI but for records collected in prior EDC, MRIDT is Mapped into it.","Excluded","",""
"MRI","MRIDT","Date Brain MRI performed","Replaced by INFODT in MRI","Replaced","MRI","INFODT"
"MRI","MRIXFRYN","MRI data transfer","","Excluded","",""
"MRI","ONDOPAG","Is subject taking a Dopamine Agonist","","Excluded","",""
"MRI","ONLDOPA","Is subject taking Levodopa","","Excluded","",""
"MRI","ONOTHER","Is subject taking some other medication","","Excluded","",""
"MRI","PDMEDYN","Is subject on medication for PD","Moved to LAB,LUMBAR","Replaced","LAB|LUMBAR","PDMEDYN"
"MRI","SITE_APRV","Date site approved the data","","Excluded","",""
"NQCOGNS","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NQCOGNS","SITE_APRV","Date site approved the data","","Excluded","",""
"NQCOMMS","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NQCOMMS","SITE_APRV","Date site approved the data","","Excluded","",""
"NQOLLEFS","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NQOLLEFS","SITE_APRV","Date site approved the data","","Excluded","",""
"NQOLUEFS","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NQOLUEFS","SITE_APRV","Date site approved the data","","Excluded","",""
"NUPDRS1","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NUPDRS1","SITE_APRV","Date site approved the data","","Excluded","",""
"NUPDRS1P","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NUPDRS1P","SITE_APRV","Date site approved the data","","Excluded","",""
"NUPDRS2P","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NUPDRS2P","SITE_APRV","Date site approved the data","","Excluded","",""
"NUPDRS3","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NUPDRS3","ON_OFF_DOSE","PD Med None="" "",>=6 hr or PDSTATE OFF and >=3 hr=""1"",<6 hr=""2""","Replaced by PDSTATE in NUPDRS3TRT","Replaced","NUPDRS3TRT","PDSTATE"
"NUPDRS3","PD_MED_USE","0=No,1=Lv,2=Ag,3=Oth,4=1+3,5=1+2,6=2+3,7=1+2+3","Replaced by PDTRTMNT in NUPDRS3TRT","Replaced","NUPDRS3TRT","PDTRTMNT"
"NUPDRS3","PN3RIGRL","3.3d Rigidity - RLE","Replaced by NP3RIGRL in NUPDRS3TRT","Replaced","NUPDRS3TRT","NP3RIGRL"
"NUPDRS3","QUERY","Any open/pending queries on this record","","Excluded","",""
"NUPDRS3","SITE_APRV","Date site approved the data","","Excluded","",""
"NUPDRS4","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"NUPDRS4","SITE_APRV","Date site approved the data","","Excluded","",""
"OPTCNSNT","CNO","Center Number","","Excluded","",""
"OPTCNSNT","EVENT_ID","Event Name","","Excluded","",""
"OPTCNSNT","FUTRCNDT","Date Consent for future research contact","","Excluded","",""
"OPTCNSNT","FUTRCNT","Consent for future research contact","","Excluded","",""
"OPTCNSNT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"OPTCNSNT","INFODT","Event Date","","Excluded","",""
"OPTCNSNT","LAST_UPDATE","Date of most recent update to record","","Excluded","",""
"OPTCNSNT","ORIG_ENTRY","Date of original data entry","","Excluded","",""
"OPTCNSNT","PAG_NAME","Page Name","","Excluded","",""
"OPTCNSNT","PATNO","Patient Number","","Excluded","",""
"OPTCNSNT","QUERY","Any open/pending queries on this record","","Excluded","",""
"OPTCNSNT","REC_ID","Record ID","","Excluded","",""
"OPTCNSNT","SITE_APRV","Date site approved the data","","Excluded","",""
"PAGE_DSCR","DSCR","Description of page","","Excluded","",""
"PAGE_DSCR","PAG_NAME","Name of Page","","Excluded","",""
"PATIENT_STATUS","DESCRP_CAT","Description of Gene Category","","Excluded","",""
"PATIENT_STATUS","ENROLL_CAT","Enrollment Category","","Excluded","",""
"PATIENT_STATUS","IMAGING_CAT","Imaging Category","","Excluded","",""
"PATIENT_STATUS","RECRUITMENT_CAT","Recruitment Category","","Excluded","",""
"PDFEAT","DOMSIDE","Side predominantly affected at onset","","Excluded","",""
"PDFEAT","DXBRADY","Bradykinesia present at diagnosis?","Moved to PDDXHIST","Replaced","PDDXHIST","DXBRADY"
"PDFEAT","DXOTHSX","Other symptom present at diagnosis?","Moved to PDDXHIST","Replaced","PDDXHIST","DXOTHSX"
"PDFEAT","DXPOSINS","Postural instability present at dx?","Moved to PDDXHIST","Replaced","PDDXHIST","DXPOSINS"
"PDFEAT","DXRIGID","Rigidity present at diagnosis?","Moved to PDDXHIST","Replaced","PDDXHIST","DXRIGID"
"PDFEAT","DXTREMOR","Resting Tremor present at diagnosis?","Moved to PDDXHIST","Replaced","PDDXHIST","DXTREMOR"
"PDFEAT","EVENT_ID","Event Name","Moved to PDDXHIST","Replaced","PDDXHIST","EVENT_ID"
"PDFEAT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PDFEAT","INFODT","Event Date","Moved to PDDXHIST","Replaced","PDDXHIST","INFODT"
"PDFEAT","LAST_UPDATE","Date of most recent update to record","Moved to PDDXHIST","Replaced","PDDXHIST","LAST_UPDATE"
"PDFEAT","ORIG_ENTRY","Date of original data entry","Moved to PDDXHIST","Replaced","PDDXHIST","ORIG_ENTRY"
"PDFEAT","PAG_NAME","Page Name","Moved to PDDXHIST","Replaced","PDDXHIST","PAG_NAME"
"PDFEAT","PATNO","Patient Number","Moved to PDDXHIST","Replaced","PDDXHIST","PATNO"
"PDFEAT","PDDXDT","Date of Parkinson's disease diagnosis","Moved to PDDXHIST","Replaced","PDDXHIST","PDDXDT"
"PDFEAT","PDDXEST","Is the PD diagnosis date estimated?","","Excluded","",""
"PDFEAT","QUERY","Any open/pending queries on this record","","Excluded","",""
"PDFEAT","REC_ID","Record ID","Moved to PDDXHIST","Replaced","PDDXHIST","REC_ID"
"PDFEAT","SITE_APRV","Date site approved the data","","Excluded","",""
"PDFEAT","SXMO","Date of Symptom (Month)","Replaced by SXDT in PDDXHIST","Replaced","PDDXHIST","SXDT"
"PDFEAT","SXYEAR","Date of Symptom (Year)","Replaced by SXDT in PDDXHIST","Replaced","PDDXHIST","SXDT"
"PENEURO","COFNLRSP","Coordination - left finger-to-nose","Replaced by CORDRSP in PENEURO","Replaced","PENEURO","CORDRSP"
"PENEURO","COFNRRSP","Coordination - right finger-to-nose","Replaced by CORDRSP in PENEURO","Replaced","PENEURO","CORDRSP"
"PENEURO","COHSLRSP","Coordination - left heel-to-shin","Replaced by CORDRSP in PENEURO","Replaced","PENEURO","CORDRSP"
"PENEURO","COHSRRSP","Coordination - right heel-to-shin","Replaced by CORDRSP in PENEURO","Replaced","PENEURO","CORDRSP"
"PENEURO","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PENEURO","MSLARSP","Muscle Strength - left arm","Replaced by MTRRSP in PENEURO","Replaced","PENEURO","MTRRSP"
"PENEURO","MSLLRSP","Muscle Strength - left leg","Replaced by MTRRSP in PENEURO","Replaced","PENEURO","MTRRSP"
"PENEURO","MSRARSP","Muscle Strength - right arm","Replaced by MTRRSP in PENEURO","Replaced","PENEURO","MTRRSP"
"PENEURO","MSRLRSP","Muscle Strength - right leg","Replaced by MTRRSP in PENEURO","Replaced","PENEURO","MTRRSP"
"PENEURO","RFLLARSP","Reflex - left arm","Replaced by RFLXRSP in PENEURO","Replaced","PENEURO","RFLXRSP"
"PENEURO","RFLLLRSP","Reflex - left leg","Replaced by RFLXRSP in PENEURO","Replaced","PENEURO","RFLXRSP"
"PENEURO","RFLRARSP","Reflex - right arm","Replaced by RFLXRSP in PENEURO","Replaced","PENEURO","RFLXRSP"
"PENEURO","RFLRLRSP","Reflex - right leg","Replaced by RFLXRSP in PENEURO","Replaced","PENEURO","RFLXRSP"
"PENEURO","SENLARSP","Sensory - left arm","Replaced by SENRSP in PENEURO","Replaced","PENEURO","SENRSP"
"PENEURO","SENLLRSP","Sensory - left leg","Replaced by SENRSP in PENEURO","Replaced","PENEURO","SENRSP"
"PENEURO","SENRARSP","Sensory - right arm","Replaced by SENRSP in PENEURO","Replaced","PENEURO","SENRSP"
"PENEURO","SENRLRSP","Sensory - right leg","Replaced by SENRSP in PENEURO","Replaced","PENEURO","SENRSP"
"PENEURO","SITE_APRV","Date site approved the data","","Excluded","",""
"PQUEST","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PQUEST","SITE_APRV","Date site approved the data","","Excluded","",""
"PREGNANC","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PREGNANC","SITE_APRV","Date site approved the data","","Excluded","",""
"PRIMDXPD","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PRIMDXPD","SITE_APRV","Date site approved the data","","Excluded","",""
"PRODDIAG","EVENT_ID","Event Name","Moved to PRIMDXPD","Replaced","PRIMDXPD","EVENT_ID"
"PRODDIAG","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"PRODDIAG","INFODT","Event Date","Moved to PRIMDXPD","Replaced","PRIMDXPD","INFODT"
"PRODDIAG","LAST_UPDATE","Date of most recent update to record","Moved to PRIMDXPD","Replaced","PRIMDXPD","LAST_UPDATE"
"PRODDIAG","ORIG_ENTRY","Date of original data entry","Moved to PRIMDXPD","Replaced","PRIMDXPD","ORIG_ENTRY"
"PRODDIAG","OTHNEURO","Other neurological disorder(s) (specify)","Moved to PRIMDXPD","Replaced","PRIMDXPD","OTHNEURO"
"PRODDIAG","PAG_NAME","Page Name","Moved to PRIMDXPD","Replaced","PRIMDXPD","PAG_NAME"
"PRODDIAG","PATNO","Patient Number","Moved to PRIMDXPD","Replaced","PRIMDXPD","PATNO"
"PRODDIAG","PRIMDIAG","Most  likely primary diagnosis","Moved to PRIMDXPD","Replaced","PRIMDXPD","PRIMDIAG"
"PRODDIAG","PSLVL2","Confidence level-motor signs of PS","Replaced by PSGLVL in FEATPD","Replaced","FEATPD","PSGLVL"
"PRODDIAG","QUERY","Any open/pending queries on this record","","Excluded","",""
"PRODDIAG","REC_ID","Record ID","Moved to PRIMDXPD","Replaced","PRIMDXPD","REC_ID"
"PRODDIAG","SITE_APRV","Date site approved the data","","Excluded","",""
"QUIPCS","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"QUIPCS","SITE_APRV","Date site approved the data","","Excluded","",""
"RAD","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"RAD","SITE_APRV","Date site approved the data","","Excluded","",""
"REMSLEEP","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"REMSLEEP","SITE_APRV","Date site approved the data","","Excluded","",""
"SCOPAAUT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"SCOPAAUT","SITE_APRV","Date site approved the data","","Excluded","",""
"SCREEN","APPRDX","Appropriate Diagnosis","Replaced by COHORT in PATIENT_STATUS","Replaced","PATIENT_STATUS","COHORT"
"SCREEN","CONSNTDT","Informed consent date","Replaced by INFODT in SCREEN","Replaced","SCREEN","INFODT"
"SCREEN","CURRENT_APPRDX","Current Appropriate Diagnosis","Updated to 1(Parkinson's Disease) for all Early Imaging participants i.e. APPRDX=9 (for records collected in prior EDC)","Excluded","",""
"SCREEN","DECLINED","Declined","Replaced by SCFAILRSN in SCRNFAIL","Replaced","SCRNFAIL","SCFAILRSN"
"SCREEN","EXCLUDED","Excluded","Replaced by SCFAILRSN in SCRNFAIL","Replaced","SCRNFAIL","SCFAILRSN"
"SCREEN","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"SCREEN","GENDER","Gender","Replaced by SEX and CHLDBEAR in SCREEN","Replaced","SCREEN","SEX|CHLDBEAR"
"SCREEN","P3GRP","Prodromal group type","Replaced by ENRLHPSM and ENRLRBD in PATIENT_STATUS","Replaced","PATIENT_STATUS","ENRLHPSM| ENRLRBD"
"SCREEN","PRJENRDT","Projected Enrollment Date","","Excluded","",""
"SCREEN","REFERNAM","Medical Professional referral","","Excluded","",""
"SCREEN","REFERRAL","Referral source","","Excluded","",""
"SCREEN","RSNDEC","Reason for Declining","Moved to SCRNFAIL","Replaced","SCRNFAIL","RSNDEC"
"SCREEN","RSNEXC","Reason for Exclusion","","Excluded","",""
"SCREEN","SIGNCNST","Signed Consent","Moved to CONSENT","Replaced","CONSENT","DOCCNSNT"
"SCREEN","SITE_APRV","Date site approved the data","","Excluded","",""
"SDM","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"SDM","SITE_APRV","Date site approved the data","","Excluded","",""
"SFT","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"SFT","SITE_APRV","Date site approved the data","","Excluded","",""
"SKBIO","BIOCOLTM","Time biopsy collected","Replaced by variable FIXCOLTM in SKBIO","Replaced","SKBIO","FIXCOLTM"
"SKBIO","BIOFRGTM","Time biopsy specimen was refrigerated","Replaced by variable BIOFIXTM in SKBIO","Replaced","SKBIO","BIOFIXTM"
"SKBIO","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"SKBIO","SITE_APRV","Date site approved the data","","Excluded","",""
"SKBIO","SKBIOSID","Which side of body was biopsy performed","Replaced by variable FIXSKBSID in SKBIO","Replaced","SKBIO","FIXSKBSID"
"SKBIO","WOUNDCLS","Type of wound closure","Replaced by variable FIXWNDCLS in SKBIO","Replaced","SKBIO","FIXWNDCLS"
"SLFREF","CNO","Center Number","","Excluded","",""
"SLFREF","EVENT_ID","Event Name","","Excluded","",""
"SLFREF","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
