emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,drawing_id,label
-0.3876232,1.2779466,-0.8374911,-1.0625737,0.6391753,0.69390523,-0.08238734,0.15319942,00049__1_1,0
-0.7445961,1.1711856,-0.63418925,-0.81877273,-0.8047125,0.44260865,0.2573436,0.039632488,00051__1_1,0
4.3672104,0.7326418,-1.4861562,0.39519617,2.8699923,-1.4519953,0.9085857,-0.10491564,00052__1_1,0
-0.6071816,1.1478359,-0.66685027,-0.7804278,0.34177554,0.26486257,-0.16124733,0.18882425,00053__1_1,1
-0.3827894,2.3751516,-0.7090474,0.75228935,0.71754974,-0.42854765,-0.30569425,0.26700112,00054__1_1,1
-0.39509428,1.5512624,-0.88345015,-0.9562803,-0.7855235,1.1146635,0.46353707,-0.16080691,00055__1_1,1
12.164934,-2.181665,-0.07505273,-0.9501164,-1.6072788,-2.52029,1.0248501,2.8621082,00057__1_1,0
-0.69924533,1.716096,-0.72864205,-0.43669888,-0.63052577,0.29819375,0.31956533,0.3081496,00060__1_1,0
-0.5812165,0.45114985,-0.73808616,-1.9352534,-0.72845775,1.4458561,0.49761188,-0.21681689,00062__1_1,0
-0.58156484,2.102323,-0.86536974,-0.37030214,-0.88879406,0.49441656,0.40953258,0.25366467,00066__1_1,0
0.055370424,2.9879591,-1.1696495,0.30102003,1.5650536,0.298844,-0.413542,0.4636335,00067__1_1,0
4.0493727,-0.4615986,0.062892236,-0.6101764,0.2663675,-1.1817249,0.7937612,-0.5588733,00069__1_1,0
-0.7479905,1.6414478,-0.6657388,-0.36568126,-0.5580843,0.019269584,0.09713228,0.25491992,00070__1_1,0
-0.15103061,1.6093776,-1.0630143,-1.2981669,-0.14734866,1.6001039,0.52785134,-0.09569388,00071__1_1,0
-0.8857219,0.92733365,-0.599453,-1.151052,-0.9343717,0.3940264,0.27304134,0.13450648,00072__1_1,0
-0.3474075,1.2293965,-0.85325384,-1.0972359,0.4395087,0.9005748,-0.04117721,0.016099552,00073__1_1,0
-0.99284995,0.190902,-0.4161614,-1.4759785,-0.6273643,0.256373,0.0011371376,-0.015609273,00074__1_1,1
9.098267,5.3375015,11.152781,-0.93437076,-0.8698771,3.3542323,-2.3924108,0.52507216,00075__1_1,1
-0.93555313,0.74113345,-0.4491906,-0.81566876,-0.47283468,-0.029361999,-0.08532073,0.11781067,00076__1_1,0
-0.73101604,0.78357816,-0.6342922,-1.1601393,-0.17334265,0.59172016,0.04044267,0.14104572,00077__1_1,1
-0.9413318,0.8889261,-0.55940986,-1.1086973,-1.1561377,0.3647415,0.33769697,0.11078613,00078__1_1,1
2.3954763,1.934182,-0.16817302,-0.38596207,-0.2849304,-1.417028,2.062167,-0.82908994,00082__1_1,0
0.00064013083,1.2619995,-1.0721694,-1.4285516,1.8246443,1.3486155,-0.307235,0.16852811,00083__1_1,0
2.4982066,2.5733821,-0.6775286,0.6208877,1.096641,-2.5334337,2.0818338,-0.042490344,00084__1_1,0
-0.6934222,2.5689764,-0.83462536,0.23926164,-1.3142967,0.21557403,0.6155484,0.44485065,00085__1_1,0
-0.23734415,3.7541068,-1.106636,1.2275708,0.39461648,-0.11800246,0.13312596,0.82718176,00087__1_1,0
-0.6068014,0.24977069,-0.5967549,-1.6063223,0.5934022,0.7185554,-0.22184537,-0.019719098,00090__1_1,0
-0.30816722,0.9524678,-0.87031806,-1.3926984,0.43125245,1.3015856,0.06048034,-0.054659702,00091__1_1,0
-0.5265272,1.2515521,-0.6548589,-0.61433965,0.29977527,0.13826883,-0.25057444,-0.023384783,00092__1_1,0
-0.57315975,0.52463704,-0.5814288,-1.1795204,0.3995014,0.57442683,-0.20790085,-0.11356612,00094__1_1,0
-0.53025234,1.8380895,-0.66982913,0.15685973,0.2782379,-0.08020634,-0.1345116,0.21382995,00095__1_1,0
6.6718206,2.634423,3.4203272,0.6304312,0.1545362,-1.7073163,1.6754658,-1.7695254,00096__1_1,0
-0.49151012,0.94731784,-0.69632596,-0.9966479,0.34374934,0.6635504,-0.08052184,-0.009477035,00097__1_1,0
-0.54292387,1.0693872,-0.65209925,-0.8013398,0.5833097,0.18921481,-0.327294,0.069032945,00098__1_1,1
-1.8442774,-1.4610108,0.63811266,0.2938169,-1.3893538,-0.56498253,-0.035841495,-0.022418827,C_0001,0
-2.0469794,-1.7116048,0.73926085,0.14945723,-1.9149368,-0.62248105,-0.06945929,-0.0631694,C_0002,0
-1.949537,-1.8218839,0.6995042,-0.15226851,-1.6342311,-0.52981937,-0.033790868,-0.11038647,C_0003,0
-1.9969995,-1.628618,0.70943505,0.1479754,-1.8011572,-0.6496893,-0.076288,-0.062701225,C_0004,0
-1.6865884,-0.9202693,0.40084338,0.09831215,-1.1650615,-0.5989341,-0.24743427,0.01992312,C_0005,0
-1.8058903,-1.4337258,0.6000441,0.231687,-1.2984396,-0.49185413,-0.06487443,-0.01771631,C_0006,0
-1.8597407,-1.2783535,0.5454628,0.10321988,-1.557302,-0.54971784,-0.05353919,0.03273753,C_0007,0
-1.664206,-2.6025527,0.9480596,0.68667513,-0.40296614,0.37432852,1.3166102,0.24063344,C_0008,0
-1.77818,-3.2018785,1.1928167,0.9314356,-0.4802634,0.63998365,2.1466913,0.44785663,C_0009,0
-1.6742917,-2.6046696,0.97464573,0.68530345,-0.3968402,0.24638891,1.0503026,0.13966198,C_0010,0
-1.5444729,-2.9171455,1.0656329,0.80091554,0.16528267,0.3367779,1.431799,0.15560628,C_0011,0
-1.607599,-1.4473151,0.54949975,0.15028045,-0.64056444,-0.54660034,-0.52338976,-0.23827665,C_0012,0
-1.2231821,-0.17332622,0.09947941,0.30702928,-0.06118521,-0.6280602,-0.6638401,-0.059038643,C_0013,0
-0.7585373,-0.44861707,0.04562639,0.11598306,1.5952275,-0.4522065,-1.1777292,-0.35410056,C_0014,0
-1.6869884,-1.2939948,0.477833,0.013017338,-1.0084729,-0.42181614,-0.24746382,-0.044160996,C_0015,0
-1.1946272,-2.0844786,0.66956294,0.5336589,0.9221176,0.26876837,0.31412056,-0.050205074,H_P000-0001,1
-1.2097193,-0.8945516,0.28556916,0.1660508,0.3111528,-0.39241284,-0.5819385,-0.18227632,H_P000-0002,1
-1.4854016,-1.0377532,0.37465653,0.07079498,-0.48250997,-0.4612692,-0.47718674,-0.11619833,H_P000-0003,1
-0.86338705,-0.55286646,0.11817541,0.15357928,1.2931987,-0.53321016,-1.089894,-0.3715474,H_P000-0004,1
-1.4391515,-2.1624255,0.7352716,0.47667062,0.066477805,0.285321,0.76959604,0.089611895,H_P000-0007,1
-1.3773069,-0.27333614,0.1668092,0.2215835,-0.4865868,-0.69017696,-0.4924226,0.017209236,H_P000-0008,1
-1.4051418,-0.17099367,0.12780531,0.104136325,-0.609691,-0.6406765,-0.30847383,0.14971972,H_P000-0011,1
-1.4766042,-1.4937258,0.5493588,0.109801844,-0.42830262,-0.44061098,-0.2503363,-0.29279217,H_P000-0012,1
-1.2201306,0.08255351,0.0059192083,0.09136754,-0.19571736,-0.6607876,-0.49502233,0.07457667,H_P000-0013,1
-0.99424875,-0.3121772,0.06286457,-0.04777049,0.7373985,-0.69952035,-0.88948536,-0.24420995,H_P000-0014,1
-1.3152431,-1.1584654,0.3265835,-0.12953155,0.1339646,-0.29108825,-0.60966,-0.16474806,H_P000-0015,1
-1.2535583,0.42616862,0.0025838923,0.51479447,-0.3954561,-0.8048436,-0.40135008,0.18516997,H_P000-0016,1
-1.181209,-1.2537835,0.40695673,0.069277935,0.33823717,-0.49251336,-0.84568477,-0.55052656,H_P000-0019,1
-1.0505795,0.19674902,-0.029021947,0.42155653,0.32101882,-0.61495745,-0.73106384,-0.01610713,H_P000-0020,1
-0.5322464,-0.37836516,-0.08856374,-0.10211356,2.2496078,-0.21855056,-1.2728605,-0.36240643,H_P000-0021,1
-0.6191715,-1.9521737,0.43897128,0.26268253,2.5381334,0.46084693,-0.05405744,-0.3162632,H_P000-0022,1
-0.84995973,0.05397683,-0.05696891,0.28173617,0.97848725,-0.5041495,-0.9334516,-0.16635682,H_P000-0023,1
-0.91711676,-0.85277295,0.15106416,-0.071114644,1.2893945,-0.32926342,-1.0939146,-0.34292147,H_P000-0024,1
-0.24887434,-2.5299296,0.44885746,0.25473434,3.444768,1.6707009,1.953929,0.1621863,H_P000-0025,1
-1.2621957,-0.5711277,0.21209657,0.1227013,0.067911334,-0.6032015,-0.6340292,-0.10353131,H_P000-0029,1
-1.1842237,0.22351491,-0.01934143,0.35666808,-0.14253376,-0.5888816,-0.53806865,0.10505469,H_P000-0030,1
-1.227168,-0.6444566,0.19893569,0.006043521,0.14687401,-0.5761467,-0.73883104,-0.18684702,H_P000-0031,1
-1.4282589,-0.17460996,0.122490905,0.16504017,-0.77556163,-0.60324025,-0.32681084,0.10858537,H_P000-0032,1
-1.1547807,-0.6447635,0.17949185,0.08145946,0.42478707,-0.4337326,-0.74965924,-0.14519544,H_P000-0033,1
-1.0745746,2.7223768,-0.2867711,3.3058162,-0.7930117,-0.8586076,-0.31908372,0.7817282,H_P000-0034,1
-0.5728905,1.5022424,-0.20845546,2.679559,-0.0679428,0.47720033,-0.21961959,-0.13996243,H_P000-0035,1
-1.2445511,-0.45887795,0.18170428,0.16783884,-0.11811838,-0.5446045,-0.5733007,-0.14605892,H_P000-0036,1
-0.65978444,1.428028,-0.34124812,1.1321918,1.0158594,-0.6647551,-0.78252,0.20491298,H_P000-0037,1
-0.58551216,0.78681713,-0.2896773,0.59121865,1.5467143,-0.47688347,-1.0437979,-0.014007577,H_P000-0039,1
-1.2273483,1.8485596,-0.19427696,1.9659712,-0.8278879,-0.9656599,-0.2802455,0.62922096,H_P000-0040,1
-1.560459,-0.9189043,0.31407198,-0.260245,-0.84602463,-0.56035215,-0.33017495,-0.054775678,H_p000-0010,1
-1.726028,-1.9908457,0.74688935,0.30100685,-0.90092415,-0.0916939,0.42735857,0.013307019,H_p000-0018,1
-0.9895582,-0.1481739,0.022005824,0.20865923,0.65805393,-0.55520165,-0.8976815,-0.16428018,H_p000-0028,1
-1.0710218,-0.33496836,0.13231368,0.28281796,0.5205426,-0.70347655,-0.90128505,-0.2480024,H_p000-0041,1
-1.3104405,-0.85778946,0.30476695,0.19739917,0.058855165,-0.492495,-0.66830623,-0.15291938,H_p000-0042,1
-0.82819414,1.4386852,-0.13667846,2.6728566,-0.6311622,0.40048093,-0.008136836,0.095863454,H_p000-0043,1
-1.4551741,-0.2825965,0.2667074,0.5792232,-0.5645076,-0.8776768,-0.5100641,0.030832645,P_02100001,1
-1.1564194,-1.2272449,0.31942803,-0.100089446,0.6903314,-0.3209215,-0.86210215,-0.32175726,P_02100002,1
-1.2863855,-0.75298715,0.21671122,-0.24538931,-0.02663944,-0.6479783,-0.6561517,-0.21285418,P_05060003,1
-1.2349527,-2.0200932,0.7325232,0.9445328,0.35050064,0.5984497,1.2785288,0.13640559,P_05060004,1
1.8513466,-2.0113328,3.368076,-0.025638843,0.61729586,0.16963695,0.5843462,3.6416993,P_09100001,1
-1.5868256,-2.9647965,0.98117626,0.44196332,-0.2552463,0.87888396,2.4395854,0.51844853,P_09100003,1
-0.8803228,-2.4055176,0.6095882,0.3635862,1.8112849,1.130787,1.9050627,0.44187868,P_09100005,1
-1.160684,-2.1523628,0.66978186,0.414927,1.1023631,0.1178962,-0.006959797,-0.21386987,P_11120003,1
-1.2220771,-1.1820172,0.3342787,-0.084606744,0.41351375,-0.37496364,-0.7299491,-0.28892678,P_11120004,1
-1.2954164,-1.0162064,0.3017736,-0.14610673,0.1447183,-0.5239787,-0.6989086,-0.22006577,P_11120005,1
-0.7921589,-0.10319126,0.004030586,0.37630564,1.5029006,-0.72447264,-1.2507466,-0.26920894,P_12060001,1
-1.3289354,-1.196344,0.36230576,-0.047773313,-0.01084367,-0.24525514,-0.2605731,-0.1202508,P_12060002,1
-1.3535453,-1.4232379,0.44959098,-0.04328663,0.1865314,-0.45818534,-0.73811334,-0.31630954,P_16100003,1
-1.3620859,-1.8578987,0.57844836,0.08123935,0.1771024,0.015778372,0.13807133,-0.11021844,P_16100004,1
-1.767483,-1.6631277,0.635789,0.017773129,-1.0873647,-0.52463704,-0.272243,-0.18049853,P_23100002,1
-1.3930777,-1.3669443,0.42245412,-0.07327366,-0.015038649,-0.34236813,-0.6184099,-0.23370804,P_23100003,1
-1.0842799,1.0884829,-0.25116718,0.4921439,-0.3154802,-0.67734694,-0.3146478,0.34300074,P_26060001,1
-1.7085712,-1.6855972,0.58541644,-0.107415184,-0.97274715,-0.27341577,0.10908944,-0.033370547,P_26060002,1
-1.0732683,-1.1689233,0.293091,-0.25673163,0.9041985,-0.5264792,-0.9199582,-0.41602707,P_26060003,1
-1.3647171,-0.9733034,0.28261665,-0.15498507,-0.18592465,-0.3706311,-0.48956743,-0.12152929,P_26060006,1
-1.0439168,-1.2814645,0.30134344,-0.11697658,1.024229,-0.18493192,-0.6807558,-0.2962194,P_26060007,1
-1.2263318,-1.7493336,0.51639664,0.13171597,0.59078604,0.10873453,0.41712558,0.024112688,P_27110001,1
-0.71320933,-3.3274748,0.8658326,0.65825033,2.486728,1.8210794,3.3254805,0.6258578,P_27110003,1
-1.520775,-1.265096,0.4224786,-0.20947692,-0.53085923,-0.5088705,-0.45450473,-0.18490572,P_30100001,1
-1.2837985,-1.3755356,0.40240508,-0.03285861,0.33560055,-0.2571437,-0.5944318,-0.23366287,P_30100002,1
